title,organization,date_posted,description,location
11 AAi Bike Repairs,Abrahamic Alliance International,"Date Posted: December 15, 2024",Help us repair bicycles for neighbors who live outside. Repair bicycles with AAi to help our neighbors who live outside do more than just survive. Donated bikes need repair for safe and reliable operation. Skills Required: Ability to fix a flat tire. Ages: 14+,"San Jose, CA, 95110"
12 Historic Orchard Workday - 2nd and 4th Wednesdays @ 9:30 AM!,Guadalupe River Park Conservancy,"Date Posted: December 17, 2024","Our Historic Orchard Revitalization is well under way and we are looking for volunteers to help us with the continued maintenance of the new fruit trees on site. Help us with our trees, and come back in a few years to see the (literal) fruits of your labor! WORKDAY DETAILS → Date: Every 2nd and","San Jose, CA, 95110"
13 Family Supportive Housing Volunteering,Artify,"Date Posted: December 29, 2024","Work with kids at FSH, doing different arts-and-crafts projects with them every week!","San Jose, CA, 95133"
14 Central YMCA Board Member,Central YMCA,"Date Posted: October 16, 2024","Central YMCA is a non-profit located in the heart of San Jose on The Alameda. Focused on improving the quality of life for all, we are driven by our committment to youth development, healthy living, and social responsibility. We offer gym and swim programs, before and after school child care, chronic disease prevention programs, and so much more, serving thousands of people of all walks of life","San Jose, CA, 95126"
15 Share your knowledge with a small business owner,MicroMentor | An initiative of Mercy Corps,"Date Posted: November 22, 2024","Your professional skills can help small businesses grow and create jobs. Volunteer as a mentor on MicroMentor.org and make a meaningful connection with a business owner. Mentors join, search for entrepreneurs to assist online, and once connected, serve as","San Jose, CA, 95113"
16 Independent Basic Research Under the B-1 Business Visitor Nonimmigrant Category,Idealist.org,"Date Posted: November 23, 2024","Recruiting Organization: Matrixellent Inc. MATRIXELLENT INC., a Delaware Charitable Nonstock Corporation, is both organized and operated primarily as a scientific organization that conducts fundamental research in the public interest. Scientific research is also carried on for the purpose of aiding in the scientific education of college or university students. Having been approved as a 50","San Jose, CA, 95113"
17 Silicon Valley Area: Get involved to end Pancreatic Cancer!,Pancreatic Cancer Action Network,"Date Posted: December 18, 2024","We're looking for amazing volunteers to be part of our local Silicon Valley Affiliate as we help to raise awareness of pancreatic cancer. We have volunteer opportunities to support our major campaigns: the walk to end pancreatic cancer, PurpleStride Silicon Valley on April 26, 2025 and November Pancreatic Cancer Awareness Month. There's something for everyone - for every interes","San Jose, CA, 95110"
18 Disabled Children need Swim Partners in Palo Alto!,Special Needs Aquatic Program,"Date Posted: December 5, 2024",Swim with us! Our beautiful children with disabilities need swim partners! SNAPkids - Special Needs Aquatic Program is a community-based swimming program for children with disabilities. By volunteering it means a swimmer can participate! Our special swimmers rely on our volunteer helpers to create the fun and the magic each week. You must be at least 15 years old (young adults to retiree,"Palo Alto, CA, 94303"
19 STEM training program for high school students,NOVALTECH,"Date Posted: October 7, 2024","We're conducting a free STEM training program in Nanoscience and technology for highschoolers in San Francisco Bay Area. The training will be during evenings / weekend. Able to spend at least 45 minutes. Training facility is in Palo Alto, CA. Certificates will be provided to all the participants. If interested, please reply.",", 95014"
20 Climate Action Counts,California Volunteers,"Date Posted: December 19, 2024","Simple actions in everyday life can create a big impact on the planet. From composting at home, to planting a native tree or plant, or supporting local farmers, every Californian can take climate action, track what they are doing, and elevate their efforts to combat climate change. You will join a network of Californians, cities, colleges and universities, community-based organizations, state a","Statewide, CA, 95814"
21 Volunteer to tutor and mentor 1:1 with a student in Chicago (In person and remote options available),Tutoring Chicago,"Date Posted: December 5, 2024","Become a tutor, mentor and role model. Tutoring Chicago is a free one-to-one tutoring program for students in grades 1-12. During the 2024-2025 school year, Tutoring Chicago will offer both in-person and digital tutoring options to our tutors/students from late September to late May. No s","Chicago, IL, 60614"
22 Join Us and Save Lives From Your Couch-Become a Volunteer Crisis Counselor (REMOTE),Crisis Text Line,"Date Posted: January 2, 2025","Mental health is a top concern in our communities. As a Crisis Text Line volunteer, you can actively provide support to people struggling with anxiety, depression, loneliness, stress, and other difficult situations affecting their mental health. What’s best about this opportunity is that it is fully remote","Nationwide, CA, 90011"
23 Volunteer: 500 State Delegates to Promote a Regulation that Puts a Stop to Backyard Breeding,L A PETS ALIVE INC,"Date Posted: November 25, 2024","Recruiting 500 Delegates to Push for a Regulation That Puts a Stop to Backyard Breeders There Are 10 Million Annual Craigslist, Facebook, Internet And Print Advertisements Of Animals For Sale. This is the Considered the Single Largest Contributor to Pet Overpopulation. Without Advertising, Backyard Breeders and Puppy Mills Can’t Profit or Survive. The Goal: 50",", 93535"
24 Become an International Exchange Coordinator,EF High School Exchange Year,"Date Posted: December 3, 2024","Work with exchange students from all over the world - and get rewarded! As an EF International Exchange Coordinator, you'll help high school foreign exchange students thrive in your American community. This isn't your ordinary volunteer opportunity - you'll get to earn financial and travel rewards along the way! However, our coordinators say that working with int","Denver, CO, 80209"
25 Helping Elders is Awesome!,ElderHelpers.org,"Date Posted: January 3, 2025","Have some time and compassion to spare? Join ElderHelpers.org We put you in touch with elders in need of care who don't require special skills, just good-hearted people. Help Elders with activities that you enjoy on a schedule that works best for you! What to Expect? By sharing a little about yourself on our website, you're s","Austin, TX, 73301"
