title,organization,date_posted,description,location
77 Grant Writer,S.T.A.R. Programs Inc.,"Date Posted: January 16, 2025","St. Andrew’s Residential Programs for Youth (S.T.A.R. Programs) was established in 1976 in collaboration of St. Andrew’s Church in Saratoga, CA. S.T.A.R. is a 501(c)(3) non-profit agency that provides residential care to youth and young adults in foster care, refugee foster care, and juvenile justice system through services in transitional housing. Every year thousands of children a",Virtual Opportunity
78 Virtual Volunteer Tutor + Mentor Elementary School Students (No Experience Required),Step Up Tutoring,"Date Posted: March 3, 2025",Step Up Tutoring is seeking volunteers to provide virtual 1-on-1 tutoring to 2nd-6th grade students from underserved communities to help build fundamental math and literacy skills and to provide support and encouragement. All tutoring will take place virtually! All you need is a computer and internet access. No prior tutoring experience is needed. Responsibilities: Tutor 1-on-1,"San Jose, CA, 95106"
79 Health Center Lobby Greeter,Asian Americans for Community Involvement (AACI),"Date Posted: January 22, 2025","Looking for ways to support immigrant and low-income communities? Our Health Center provides high quality care regardless of a patient’s immigration status and insurance or ability to pay. Help us create a supportive, inclusive space for our patients and help us eliminate barriers to healthcare access. By answering patient questions, providing check-in assistance, and being a","San jose, CA, 95128"
80 Assist a Patient: be a Patient Care Hospice Volunteer,VITAS Healthcare of SF Bay Area,"Date Posted: March 6, 2025","VITAS Healthcare is looking for volunteers who are able to share their time with hospice patients living at home, assisted living, or in long term care facilities. Hospice volunteers give their time to terminally ill patients and their caregivers during a critical time. Hours are flexible. Average commitment is about 1 hour a week. Training is provided. Visits made by our volunteers not o","San Jose, CA, 95136"
81 Kaiser Hospice seeking Certified Pet Therapist to visit hospice patients,Kaiser Permanente South Bay Hospice,"Date Posted: March 12, 2025","Kaiser Hospice is seeking a certified pet therapist to visit with hospice patients in Santa Clara, north San Jose, Saratoga, Cupertino. Visits would be 2-3 times per month (or more, if pet therapist is available) in skilled nursing facilities where we have hospice patients, and occasionally at a hospice patient's home. We require applicants to view a training video to learn about hospice, an","Santa Clara, CA, 95054"
82 Coffee Cart for Visitors,Kaiser Permanente,"Date Posted: March 19, 2025","There are hundreds of visitors spending time in our waiting rooms. There's no better way to bring them some cheer than to wheel in our coffee cart, which features free coffee, tea, and hot chocolate. You are guaranteed to be warmly greeted by visitors who will wait patiently while you fill their cups with a favorite hot beverage.","Santa Clara, CA, 95051"
83 Vietnamese language study coordinator,AN LAC TEMPLE,"Date Posted: June 16, 2024","Bilingualism English/ Vietnamese, Recruiting parents and students enrollment and stem activities, Vietnamese cultural activities. Www.chuaanlacsj.org/volunteer-form.",Virtual Opportunity
84 FLY Law Program Facilitator,Fresh Lifelines for Youth - Law Program,"Date Posted: March 21, 2025",PRIMARY RESPONSIBILITIES: Facilitate LRE curriculum to justice involved and/or at-promise youth Prepare for the program sessions by reviewing weekly lessons.,"Milpitas, CA, 95035"
85 Dog Evaluator (Guardian of Hope),THULANI SENIOR GERMAN SHEPHERD RESCUE INC,"Date Posted: February 18, 2025","At Thulani Senior German Shepherd Rescue, we believe every dog deserves a second chance,​ and as a Dog Evaluator,​ you will be the key to making that happen. This critical role is the​ first step in transforming the lives of senior German​ Shepherds, ensuring their safety, care, and​ ultimate placement into loving homes. If you’re ready to step into a role that combines a","San Jose, CA, 95111"
86 Love Dogs? Like helping people? Raise a service dog puppy!,Dogs for Better Lives,"Date Posted: January 26, 2025",Looking for an exciting volunteer opportunity that will change lives? Raising a puppy for Dogs for Better Lives is a unique opportunity to be part of something truly life changing while assisting our mission of providing service dogs to people with disabilities. Puppy raisers play a crucial role in helping build strong foundations for our future service dogs - no prior dog training experi,"Santa Clara, CA, 95050"
87 Your Friendly Smile is Needed in Campbell - Volunteer for Mobile Blood Drive Check-In!,Vitalant - San Francisco,"Date Posted: March 6, 2025","At Vitalant, we're dedicated to providing life-saving blood products to hospitals in our community, helping local patients in need of critical treatments. Your involvement as a volunteer plays a vital role in supporting this mission. As a Vitalant Volunteer, You Will: Welcome & Register Donors: Be the first point of contact, ensur","CA, 95124"
"88 Drive Cancer Patients to Treatment as a Road To Recovery Volunteer - Santa Clara County, CA",AMERICAN CANCER SOCIETY,"Date Posted: February 24, 2025","The American Cancer Society provides free rides to treatment for people with cancer. As a trained Road To Recovery volunteer driver, you can change someone’s life in as little as one hour a week by ensuring a ride is available, so care isn’t stopped or delayed. Keep in mind that most rides are needed during Monday through Friday, primarily between 7 a.m. and 7 p.m. Drivers sho","Santa Clara, CA, 95051"
89 Dog Foster Home - Silicon Valley Region,Furry Friends Rescue,"Date Posted: March 15, 2025",Help us save more precious furry lives by fostering a dog in your home in Silicon Valley until he/she is adopted to a new loving family.,"Milpitas, CA, 95035"
90 Kitten Foster - Save kittens!,MINI CAT TOWN INC,"Date Posted: January 23, 2025","Kitten fosters needed! Can you spare some room in your heart and home? ***If you are still working from home, this is an opportunity for you!*** Mini Cat Town is a nonprofit organization dedicated to saving neonatal kittens. Every year, the San Jose Animal Care Center is impacted with 5,000 orphaned kittens found lost, abandoned, or sick. Mini Cat Town is a safety","San Jose, CA, 95122"
91 Music Teachers for Underprivileged Children,MUSICLINK FOUNDATION,"Date Posted: February 21, 2025","MusicLink is in need of experienced music teachers and related volunteers in California. With MusicLink, students (children under 18 years old) who show an interest in taking music lessons, but cannot afford full fee lessons, are linked with qualified music teachers willing to reduce their fee by at l","San Jose, CA, 95113"
92 Making Strides Against Breast Cancer of Silicon Valley - Entertainment Coordinator,American Cancer Society,"Date Posted: February 24, 2025","*Oversee all ceremonies that take place throughout the MSABC event including Opening, Survivor and Closing Ceremonies *Help recruite and manage day of entertainment such as dj, band, performars (dancers, cheerleaders, spoken word, etc.)","Campbell, CA, 95008"
93 Social Activities with Seniors!,Sourcewise - Community Resource Solutions,"Date Posted: March 21, 2025","Volunteer for Activities with Seniors Volunteers will assist seniors with arts & crafts, puzzles, game boards and many other activities depending on their interests. Supplies, snacks, and refreshments will be provided.   Bilingual Spanish volunteers appreciated! High school age and up preferred! <","San Jose, CA, 95116"
94 Help Transform Uncertainty Into Hope at the Parents Helping Parents 2025 Gala,Parents Helping Parents,"Date Posted: February 6, 2025","**One day volunteer opprotunity** We are excited to announce our upcoming Gala on May 17th and are seeking enthusiastic volunteers to help make this formal event a success! Here are the details: Event Date: May 17th, 2025 Location: Orchard City Banquet Hall- Campbell Community Center Volunteer Roles Needed: Tech-savvy individu","Campbell, CA, 95008"
95 Become a COMPANION/SUPPORT Volunteer for Hospice Patients in San Jose and surrounding areas,ProHealth Home Care Inc.,"Date Posted: March 23, 2025","BECOME A COMPANION/SUPPORT VOLUNTEER FOR HOSPICE PATIENTS It could be the most rewarding, life-changing experience of your life! Be a friend to someone in need Share life stories and learn about an amazing life Read books, sing songs, or play their favorite music Bring warmth and companionship to help brighten their day",95134
96 Museum Docents Needed!,SUNNYVALE HISTORICAL SOCIETY & MUSEUM ASSOCIATION,"Date Posted: March 25, 2025","Are you an outgoing person with an interest in local history? Sunnyvale's Heritage Park Museum is looking for volunteer docents to lead tours for visitors. Our free museum showcases Sunnyvale's rich and varied past, from the time of Native persons through farms, orchards, defense, and technology to the present day. Museum docents work four-hour shifts, 12-4pm, on Tuesdays, Thursdays, an","Sunnyvale, CA, 94087"
97 Kitten Foster Homes Needed!,Itty Bitty Orphan Kitty Rescue,"Date Posted: February 6, 2025","Rescued kittens and cats need loving temporary homes until a forever home can be found for them. Training, support, and supplies are provided. You provide a safe, quiet room in your home and lots of loving care. Transport to veterinary appointments and adoption fairs is also required. Fostering may be for only a few weeks or longer until permanent homes are found. This is a great way to en","South Bay Area, CA, 95118"
98 HELP OUT: Monthly Book Sale,HandsOn Bay Area,"Date Posted: January 22, 2025","Project Overview Join the Santa Clara City Library Foundation Friends and Family in their monthly book sale. The money making from the book sale will be going to the library for activities such as ESL Club, Summer reading, etc. Volunteers will be supporting the book sale by restocking and handling the registers About Santa Clara City Library Foundation Friends and Fami","Santa Clara, CA, 95051"
99 Music Volunteer,SILICON VALLEY MISSION CHURCH,"Date Posted: February 4, 2025","Hello, We'd like to introduce a volunteering position for music instruments (vocal singing too), as a member of Joy ensemble, a church's music team. This is to give a chance to share talents of music for people who are delighted in music performance, and would recommend middle to high schooler (even higher level, too) to join with the chance of applying for president volunteering aw","Campbell, CA, 95008"
100 Marketing and Branding Volunteers,JUSTICE AT LAST,"Date Posted: February 23, 2025","As we gear up for our 10 Year Celebration event taking place on October 26, 2025 we need volunteers to help us secure sponsorships and donations for a silent-auction, as well as promote and help market our ""Celebrating 10 Years of Justice"" event. Marketing and Branding Volunteer will assist in developing an effective and comprehensive marketing strategy for Justice At Last. Mark","San Jose, CA, 95126"
